id,Name,Created (UTC),Interval,Amount,Currency,Interval Count,Trial Period Days,Statement Descriptor
platinum-year,platinum-year,2017-10-12 18:39,year,270000,gbp,1,,
gold-year,gold-year,2017-10-12 18:38,year,128500,gbp,1,,
popular-year,popular-year,2017-10-12 18:38,year,63700,gbp,1,,
basic-year,basic-year,2017-10-12 18:38,year,31300,gbp,1,,
starter-year,starter-year,2017-10-12 18:37,year,20500,gbp,1,,
platinum,platinum,2017-10-12 18:37,month,25000,gbp,1,,
gold,gold,2017-10-12 18:36,month,11900,gbp,1,,
popular,popular,2017-10-12 18:36,month,5900,gbp,1,,
basic,basic,2017-10-12 18:36,month,2900,gbp,1,,
starter,starter,2017-10-12 18:35,month,1900,gbp,1,,
pro-membership,pro-membership,2017-10-10 21:40,month,1500,gbp,1,,
